Name,TeamName,Service Time,Player,Team,Mid,Final
Dustin Ackley,Yankees,4.087,,,,3.2
Matt Adams,Cardinals,3.033,,,,1.65
Cody Allen,Indians,3.076,,,,4.15
Yonder Alonso,Athletics,4.116,,,,2.65
Nolan Arenado,Rockies,2.155,,,,5
Jake Arrieta,Cubs,4.145,13,7.5,10.25,10.7
Luis Avilan,Dodgers,3.077,,,,1.39
Brandon Barnes,Rockies,3.024,,,,1
Brandon Belt,Giants,4.128,7.5,5.3,6.4,
Charlie Blackmon,Rockies,3.102,3.9,2.7,3.3,3.5
Andres Blanco,Phillies,5.007,,,,1.45
Peter Bourjos,Phillies,5.062,,,,2
Brad Brach,Orioles,3.063,,,,1.25
Zach Britton,Orioles,3.158,7.9,5.6,6.75,6.75
Rex Brothers,Cubs,3.131,,,,1.42
Drew Butera,Royals,5.018,,,,1.163
Lorenzo Cain,Royals,4.074,7.85,5,6.425,E
Kole Calhoun,Angels,2.13,3.9,2.35,3.125,3.4
Carter Capps,Marlins,3.007,,,,U
Andrew Cashner,Padres,5.126,,,,7.15
Welington Castillo,Diamondbacks,4.009,,,,3.7
Jason Castro,Astros,5.104,5.25,5,5.125,
Brett Cecil,Blue Jays,5.152,,,,3.8
Francisco Cervelli,Pirates,5.146,,,,3.5
Aroldis Chapman,Yankees,5.034,13.1,9,11.05,
Jesse Chavez,Blue Jays,5.108,4,3.6,3.8,4
Robinson Chirinos,Rangers,3.103,,,,1.55
Lonnie Chisenhall,Indians,3.158,,,,2.725
Alex Cobb,Rays,4.061,,,,4
Chris Coghlan,Cubs,5.148,,,,4.8
Louis Coleman,Royals,3.018,,,,0.725
Tim Collins,Royals,4.097,,,,1.475
Hank Conger,Rays,4.051,,,,1.5
Patrick Corbin,Diamondbacks,3.105,,,,2.525
Collin Cowgill,Indians,3.151,,,,1
Zack Cozart,Reds,4.084,,,,2.925
Tony Cruz,Royals,4.105,,,,0.975
Rubby De La Rosa,Diamondbacks,3.097,,,,2.35
Steve Delabar,Blue Jays,3.008,,,,0.835
Randall Delgado,Diamondbacks,3.1,,,,1.25
Jake Diekman,Rangers,3.049,1.55,0.975,1.262,1.255
Josh Donaldson,Blue Jays,3.158,11.8,11.35,11.575,
Felix Doubront,Athletics,4.041,,,,2
Lucas Duda,Mets,4.137,7.4,5.9,6.65,6.725
Danny Duffy,Royals,4.085,,,,4.225
Jarrod Dyson,Royals,4.088,,,,1.725
Josh Edgin,Mets,3.015,,,,0.625
A.J. Ellis,Dodgers,5.151,,,,4.5
Nate Eovaldi,Yankees,4.013,6.3,4.9,5.6,5.6
Eduardo Escobar,Twins,3.128,,,,2.15
Danny Espinosa,Nationals,4.113,,,,2.875
Jeurys Familia,Mets,3.03,4.8,3.3,4.05,4.1
Jose Fernandez,Marlins,3,,,,2.8
Josh Fields,Astros,3,,,,0.9
Casey Fien,Twins,3.143,,,,2.275
Ryan Flaherty,Orioles,4,,,,1.5
Logan Forsythe,Rays,4.113,,,,E
Sam Fuld,Athletics,5.14,,,,U
Charlie Furbush,Mariners,4.121,,,,1.6
Freddy Galvis,Phillies,3.021,,,,2
Avisail Garcia,White Sox,2.167,,,,2.1
Evan Gattis,Astros,3,3.85,3,3.425,
Chris Gimenez,Rangers,3.163,,,,0.975
Jeanmar Gomez,Phillies,4.063,,,,1.4
Marwin Gonzalez,Astros,3.133,,,,2
Miguel Gonzalez,Orioles,4.095,,,,5.1
Dee Gordon,Marlins,3.154,,,,E
Yasmani Grandal,Dodgers,3.115,,,,2.8
Didi Gregorius,Yankees,2.159,2.525,2.3,2.413,2.425
Justin Grimm,Cubs,2.17,,,,1.275
Brandon Guyer,Rays,3.066,,,,1.185
Matt Harvey,Mets,3.072,,,,4.325
Chris Hatcher,Dodgers,2.146,,,,1.065
Adeiny Hechavarria,Marlins,3.06,,,,2.625
Jeremy Hellickson,Phillies,5.045,,,,7
J.J. Hoover,Reds,3.102,1.4,1.225,1.312,1.4
